candidate_idx,conversation_id,message_count,duration_minutes,flags,dialogue_text,primary_intent,escalation_needed,escalation_rationale,evidence_notes,ambiguity_notes
11,162191,2,28.9,Clean,"[Turn 0 | CUSTOMER | @153439 | 2017-11-24 18:44:11] (root):
@Tesco hi i ordered a club card a while ago and it''s still not arrived yet! any idea whats happened?

[Turn 1 | TESCO | @Tesco | 2017-11-24 19:13:08] (in reply to 162191):
@153439 Hi Kieran, sorry about that! If you can DM over a few details, I'd be glad to have a look at what's happened. Can you DM us your full name, postcode &amp; address and email please? Thanks - Josh https://t.co/py5Z991Bme",clubcard_and_loyalty,escalate,requires_pii_or_dm,,
12,162203,2,53.7,Clean,"[Turn 0 | CUSTOMER | @153444 | 2017-11-24 17:57:09] (root):
@tesco all geared up for #blackFriday https://t.co/92DzGfBIF5

[Turn 1 | TESCO | @Tesco | 2017-11-24 18:50:50] (in reply to 162203):
@153444 Hi Lucy, this is more than likely human error .Can you DM me which store this is and I will feed it back to them? - Nick",general_feedback_and_chitchat,escalate,requires_pii_or_dm,,Reply content appears mismatched with root tweet
13,1635909,2,554.5,Clean,"[Turn 0 | CUSTOMER | @500390 | 2017-11-05 12:05:17] (root):
Congratulations @Tesco #onlineshopping #homedelivery @53450 this is just the tip of the iceberg. 53 items/ 34 bags! https://t.co/GMrNSItx6w

[Turn 1 | TESCO | @Tesco | 2017-11-05 21:19:45] (in reply to 1635909):
@500390 Sorry this is a bit excessive. If you DM me with your full name, address and order number then I'll feed this back. TY. - Mart",general_feedback_and_chitchat,escalate,requires_pii_or_dm,Concern: large delivery order (53 items/34 bags),
14,1690324,2,7.1,Clean,"[Turn 0 | CUSTOMER | @513164 | 2017-10-17 16:47:51] (root):
@Tesco could you read my DM please

[Turn 1 | TESCO | @Tesco | 2017-10-17 16:54:56] (in reply to 1690324):
@513164 Please check your DM's I have messaged you. - Rocsi",general_feedback_and_chitchat,do_not_escalate,none,,
15,1788884,2,31.9,Clean,"[Turn 0 | CUSTOMER | @127239 | 2017-10-12 17:12:05] (root):
@221914 you need to get stock to @Tesco Cheetham Hill, no sausages &amp; no 1/4 lb mozzarella burgers. Is there a shortage as low stock?

[Turn 1 | TESCO | @Tesco | 2017-10-12 17:44:02] (in reply to 1788884):
@127239 Hi Sam, sorry about that! If you can DM us letting us know which store you would like these in, we can look into this for you. Thanks - Josh",stock_and_availability,escalate,requires_pii_or_dm,Store: Cheetham Hill,
16,1807506,2,3.5,Clean,"[Turn 0 | CUSTOMER | @543014 | 2017-10-14 12:18:08] (root):
Trying to cancel pet insurance with @Tesco been on hold for 15 minutes so far 😡😡😡

[Turn 1 | TESCO | @Tesco | 2017-10-14 12:21:40] (in reply to 1807506):
@543014 I'm sorry there's such a wait Michelle. Our team are available until 5pm, so you could try again later when they're a bit quieter :-) -Scott",general_feedback_and_chitchat,do_not_escalate,none,,Pet insurance phone hold query; outside core categories
17,1917583,2,29.2,Clean,"[Turn 0 | CUSTOMER | @571105 | 2017-10-26 09:32:43] (root):
@Tesco customer service stinks as much as the rancid duck legs I returned.

[Turn 1 | TESCO | @Tesco | 2017-10-26 10:01:55] (in reply to 1917583):
@571105 Hi Tracy, sorry to hear that your unhappy. Can you please send me a DM with what's happened so I can look into this further. - David",product_quality_and_safety,escalate,requires_pii_or_dm,Product: duck legs (already returned),
18,1945598,2,859.0,Clean,"[Turn 0 | CUSTOMER | @364411 | 2017-10-29 19:00:02] (root):
Hey @Tesco, I've just checked out receipt from yesterday's shop and we didn't get our petrol voucher. https://t.co/cef6u2GFdT

[Turn 1 | TESCO | @Tesco | 2017-10-30 09:19:02] (in reply to 1945598):
@364411 I'm sorry it appears to be missing Alexa, can you DM me your full name, address &amp; email address so I can look into it for you? Thanks - Mike",pricing_promotions_and_vouchers,escalate,requires_pii_or_dm,Missing petrol voucher,
19,1971928,2,564.4,Clean,"[Turn 0 | CUSTOMER | @584095 | 2017-11-26 00:51:40] (root):
@Tesco just been assaulted by 5 of your staff out on their Xmas do.... police called.... I shall be showing the cctv to the manager tomorrow #tesco #xmas

[Turn 1 | TESCO | @Tesco | 2017-11-26 10:16:03] (in reply to 1971928):
@584095 Hi Raj, I'm so very sorry to learn about this. Are you ok? As the police are involved my hands are tied with this. However we will support the police with the investigation with whatever information they need. Kind Regards - Stacey.",store_experience_and_staff,escalate,formal_complaint,,Police involved; agent deferred pending police investigation
20,1983226,2,82.0,Clean,"[Turn 0 | CUSTOMER | @511763 | 2017-11-01 20:39:10] (root):
@Tesco I was charged £2.00 each for three pumpkins (£6) on Monday (30 oct.) thought they had been reduced to £1.00 on Sunday? Please advise.

[Turn 1 | TESCO | @Tesco | 2017-11-01 22:01:08] (in reply to 1983226):
@511763 Hi Dolly, I'd like to look in to this for you. Could you DM me your name, address/email address as well as a picture of your receipt? -Peter",pricing_promotions_and_vouchers,escalate,refund_or_compensation,"Product: pumpkins, overcharged £2 vs advertised £1",
21,2169510,2,120.9,Clean,"[Turn 0 | CUSTOMER | @636421 | 2017-11-09 01:21:21] (root):
@636422 @Tesco could you make a Tiesto-Tesco Pesto sauce? I'll be happy with a 5% cut

[Turn 1 | TESCO | @Tesco | 2017-11-09 03:22:14] (in reply to 2169510):
@636421 I will be happy to register your comments for you Simon, can you DM your full name and address? TY - Jayne https://t.co/py5Z991Bme",general_feedback_and_chitchat,escalate,requires_pii_or_dm,,Joke/suggestion tweet but agent requested DM PII to log comment
22,2564508,2,52.6,Clean,"[Turn 0 | CUSTOMER | @727650 | 2017-11-16 17:39:27] (root):
Just seen this in @Tesco peterborough 🤢 https://t.co/4Y6dqq2IuD

[Turn 1 | TESCO | @Tesco | 2017-11-16 18:32:01] (in reply to 2564508):
@727650 Hi Ben, I'm really sorry you found this in store. Can I please ask if you brought this to my colleagues attention in store? Was this a Superstore or Extra? Look forward to your reply. Thanks - Mark",product_quality_and_safety,escalate,requires_pii_or_dm,Store: Peterborough,
23,2621657,2,2744.8,Clean,"[Turn 0 | CUSTOMER | @740737 | 2017-11-15 18:13:55] (root):
@Tesco can it be true when I hear that you are paying your xmas temp staff by way of Tuxedo cards, rather than into their bank accts?

[Turn 1 | TESCO | @Tesco | 2017-11-17 15:58:46] (in reply to 2621657):
@740737 Hi KLJ, this is not true. We pay colleagues’ wages directly into their bank accounts. We would only consider paying colleagues via a Tuxedo card in exceptional circumstances. TY - Michelle",general_feedback_and_chitchat,do_not_escalate,none,,Rumor about staff pay method; answered publicly with policy clarification
24,2628224,2,26.2,Clean,"[Turn 0 | CUSTOMER | @742300 | 2017-11-17 16:24:33] (root):
Love the little festive stalls giving out samples @Tesco Toblerone cheesecake is amazing 😍 https://t.co/hbDxFQixAA

[Turn 1 | TESCO | @Tesco | 2017-11-17 16:50:46] (in reply to 2628224):
@742300 I am glad you like them Nic :) - Jay",store_experience_and_staff,do_not_escalate,none,,
25,2675766,2,34.1,Clean,"[Turn 0 | CUSTOMER | @753159 | 2017-10-31 12:49:52] (root):
@tesco hi

[Turn 1 | TESCO | @Tesco | 2017-10-31 13:23:59] (in reply to 2675766):
@753159 Hi Fahima, how can I help today? - David",general_feedback_and_chitchat,do_not_escalate,none,,
26,2677942,2,36.4,Clean,"[Turn 0 | CUSTOMER | @393102 | 2017-10-31 13:55:35] (root):
P2/3 have enjoyed their trip to @234241 @Tesco for the Farm to Fork Autumn Trail https://t.co/RxRUUZi1Na

[Turn 1 | TESCO | @Tesco | 2017-10-31 14:32:00] (in reply to 2677942):
@393102 Everyone looks like they had a fab time! Thanks for sharing 😊",general_feedback_and_chitchat,do_not_escalate,none,,
27,2829066,2,830.8,Clean; Cross-Brand (@morrisons),"[Turn 0 | CUSTOMER | @787852 | 2017-11-26 22:08:18] (root):
Second time using @Tesco and second time items are missing..this times I had SIX items missing and when I phoned not even an apology just an “ok we will refund those items”!! Will be sticking with @Morrisons. NEVER had a problem with them!

[Turn 1 | TESCO | @Tesco | 2017-11-27 11:59:05] (in reply to 2829066):
@787852 I'm sorry that you have received such poor service. Can you please DM me your full name, address and email address so I can look into this for you. Thanks - Mike",delivery_and_orders,escalate,requires_pii_or_dm,6 items missing from delivery order,
28,2857409,2,180.0,Clean,"[Turn 0 | CUSTOMER | @794151 | 2017-11-27 18:48:54] (root):
@Tesco I did a quick lunchtime shop today and got these for my daughters Nursery snack. Have to say I’m annoyed that the use by date is tomorrow and full price was paid. I accept that I’m partly to blame by not checking the date. But shouldn’t things close to the date be marked? https://t.co/rQif7ANppK

[Turn 1 | TESCO | @Tesco | 2017-11-27 21:48:54] (in reply to 2857409):
@794151 Hi Lezli-Anne, our stores sell products up to and including their use by date to reduce food waste. We mainly display the use by date so that our customers can make an informed decision about the products they buy. Ty - Reece",product_quality_and_safety,do_not_escalate,none,Use-by date labelling policy question,
29,2905892,2,8.6,Clean,"[Turn 0 | CUSTOMER | @530068 | 2017-11-28 19:35:32] (root):
@Tesco #SantaPaws delivered some nice dog food, and a funky little hat! My dog Patch loves the hat, after numerous attempts to get a picture! 😂 https://t.co/Zl3mhMAzCw

[Turn 1 | TESCO | @Tesco | 2017-11-28 19:44:07] (in reply to 2905892):
@530068 Aww Patch is adorable! Glad he likes the treats 😊",general_feedback_and_chitchat,do_not_escalate,none,,
30,2931102,2,365.9,Clean,"[Turn 0 | CUSTOMER | @810770 | 2017-11-29 01:38:24] (root):
Is this normal for your Payment devices @Tesco ? Possibly not!! #hack #malware https://t.co/SZgxKyeA87

[Turn 1 | TESCO | @Tesco | 2017-11-29 07:44:20] (in reply to 2931102):
@810770 Hi Ant, that doesn't look right at all! Please let a colleague know and they'll be able to assist you further. TY - Olivia",store_experience_and_staff,do_not_escalate,none,In-store payment device appearance concern,
31,488826,2,179.6,Clean,"[Turn 0 | CUSTOMER | @231410 | 2017-12-01 13:28:12] (root):
Poor showing from @Tesco waiting a week to have something delivered to store and still no notification to when it will be delivered

[Turn 1 | TESCO | @Tesco | 2017-12-01 16:27:49] (in reply to 488826):
@231410 Hi Dan, I do apologise that it's been a week and your order has still not been delivered to the store. Can you please DM us with your full name, address and also order number? We'll look into this for you. TY - Sheryll",delivery_and_orders,escalate,requires_pii_or_dm,Click & Collect order delay,
32,509652,2,322.7,Clean; Cross-Brand (@sainsburys),"[Turn 0 | CUSTOMER | @237089 | 2017-12-01 17:08:51] (root):
So @Tesco. Book delivery saver to get access to Christmas slots. Go online to book latest slot - 20th Dec! Go to @sainsburys book 22nd Dec without anything!

[Turn 1 | TESCO | @Tesco | 2017-12-01 22:31:31] (in reply to 509652):
@237089 @sainsburys Hi Debbie, it sounds like your plan isn't active. Please can you DM the name and address on your account so I can check? Charlotte https://t.co/py5Z991Bme",delivery_and_orders,escalate,requires_pii_or_dm,Delivery Saver Christmas slot availability,
33,531771,2,962.8,Clean,"[Turn 0 | CUSTOMER | @243194 | 2017-12-01 18:43:54] (root):
@Tesco I’ve gone through 3 cans of your de icer in the last month - surely I should get a sponsorship for this loyalty 👸🏼

[Turn 1 | TESCO | @Tesco | 2017-12-02 10:46:43] (in reply to 531771):
@243194 Icey what you did there 😉 Not to sound cold hearted, but you need to snow your enemy... blame November ❄",general_feedback_and_chitchat,do_not_escalate,none,,
34,538179,2,146.2,Clean,"[Turn 0 | CUSTOMER | @244772 | 2017-12-02 11:35:31] (root):
Couldn’t walk past @134409 collections @Tesco this morning and not donate. No one should go hungry in this country #charity #christmas #foodbank #foodpoverty

[Turn 1 | TESCO | @Tesco | 2017-12-02 14:01:43] (in reply to 538179):
@244772 Hi there, I'm happy you have donated to one of our charities I totally agree with you that no one should go hungry. TY - Rian",general_feedback_and_chitchat,do_not_escalate,none,,
35,541710,2,66.7,Clean,"[Turn 0 | CUSTOMER | @245704 | 2017-12-02 14:29:27] (root):
@Tesco are you not Tesco Boost this year on toys &amp; games etc?

[Turn 1 | TESCO | @Tesco | 2017-12-02 15:36:07] (in reply to 541710):
@245704 Hi Donna, we stopped doing the Boost at Tesco. Now we have what's called Clubcard Boost, where you can get up to 4X the value of your vouchers on days out, restaurants or even flights. Thanks - Josh",clubcard_and_loyalty,do_not_escalate,none,Clubcard Boost policy question,
36,558639,2,177.4,Clean,"[Turn 0 | CUSTOMER | @250531 | 2017-12-02 18:41:10] (root):
@Tesco Why are you sending foodbank donations from your Scottish stores to England? people donate stuff to help our LOCAL communities who are struggling not people in a different country.

[Turn 1 | TESCO | @Tesco | 2017-12-02 21:38:33] (in reply to 558639):
@250531 Hi there, thank you for getting in touch with us. Can you please DM us where you got this information so we can investigate this please? TY - Eve",general_feedback_and_chitchat,escalate,requires_pii_or_dm,,Foodbank donation allocation concern; DM requested to investigate
37,571393,2,455.2,Clean,"[Turn 0 | CUSTOMER | @254230 | 2017-12-02 20:39:53] (root):
Had to downsize our Christmas Tree this year due to our 7 month old and all his millions of toys! So impressed with this £25 6.5ft slim tree from @Tesco highly recommend! 🎄#ChristmasTree #ChristmasIsComing https://t.co/bgqvlD5efn

[Turn 1 | TESCO | @Tesco | 2017-12-03 04:15:07] (in reply to 571393):
@254230 Looks amazing Amber! I'm loving the candy cane ornaments! :) - Emma",general_feedback_and_chitchat,do_not_escalate,none,,
38,684953,2,35.6,Clean,"[Turn 0 | CUSTOMER | @152967 | 2017-11-23 12:17:34] (root):
Woeful lack of vegetarian options in the @Tesco Finest range. Any reason why?

[Turn 1 | TESCO | @Tesco | 2017-11-23 12:53:09] (in reply to 684953):
@152967 Hi There, Can you please DM me your postcode and I can have a look into this for you. Kind Regards - Stacey.",stock_and_availability,escalate,requires_pii_or_dm,Tesco Finest vegetarian range,
39,730114,2,1.1,Clean,"[Turn 0 | CUSTOMER | @294883 | 2017-10-11 09:31:11] (root):
Self check out in @Tesco Helensburgh is brutal

[Turn 1 | TESCO | @Tesco | 2017-10-11 09:32:15] (in reply to 730114):
@294883 Hi Declan, I'm so sorry to hear this. Please can you explain more via DM on what happened? - Rocsi https://t.co/py5Z991Bme",store_experience_and_staff,escalate,requires_pii_or_dm,"Store: Helensburgh, self-checkout",
40,768292,2,195.3,Clean,"[Turn 0 | CUSTOMER | @303493 | 2017-10-23 09:43:08] (root):
Calling @Tesco for IT help with registering for grocery was bonkers.  She said she didn't know what a tracker was...amongst other things.

[Turn 1 | TESCO | @Tesco | 2017-10-23 12:58:28] (in reply to 768292):
@303493 Hi, I am sorry our Technical support team could not help you. Can you DM me the address you were trying to register with? TY Andrew",website_and_app_technical,escalate,technical_support,Online grocery account registration issue,
41,936819,2,20.7,Clean,"[Turn 0 | CUSTOMER | @342083 | 2017-11-25 16:24:14] (root):
Hold tight @Tesco your Turkey &amp; Trimmings Christmas Sandwich is the business

[Turn 1 | TESCO | @Tesco | 2017-11-25 16:44:57] (in reply to 936819):
@342083 Thank you very much! We'd like to get this documented, could you please DM your full name &amp; address or email address so we can do this? :) TY - George",general_feedback_and_chitchat,escalate,requires_pii_or_dm,Compliment: Christmas sandwich,
42,955749,2,290.5,Clean,"[Turn 0 | CUSTOMER | @346765 | 2017-10-21 16:52:09] (root):
@Tesco Hi, was expecting order to arrive today, what time do they deliver till? It hasn't arrived yet :(

[Turn 1 | TESCO | @Tesco | 2017-10-21 21:42:39] (in reply to 955749):
@346765 Hi Anna, I've replied to you DM :) - Mart",delivery_and_orders,escalate,requires_pii_or_dm,,
43,970077,2,4.8,Clean,"[Turn 0 | CUSTOMER | @350210 | 2017-10-11 17:11:04] (root):
Mmmm Shepherds Pie, the perfect autumnal meal ♥️🍂

[Turn 1 | TESCO | @Tesco | 2017-10-11 17:15:53] (in reply to 970077):
@350210 #TrueThat 🙌 Have you tried it with sweet potato Lauren? #EveryLittleHelps

https://t.co/fbQu0JuSKV",general_feedback_and_chitchat,do_not_escalate,none,,
44,1017391,3,19.1,Clean; Branching,"[Turn 0 | CUSTOMER | @360720 | 2017-10-12 14:05:19] (root):
@Tesco been waiting a week for a sofa to be collected, called TD 5 times every time get told we will get this sorted. Still waiting..😕😕😕😕

[Turn 1 | TESCO | @Tesco | 2017-10-12 14:24:04] (in reply to 1017391):
@360720 Hi James, I'm really sorry that you've not had your sofa collected. So that I can look into this can you please DM me some details? 1/2

[Turn 2 | TESCO | @Tesco | 2017-10-12 14:24:23] (in reply to 1017391):
@360720 I would need your order number, full name and full address. Kind regards - Calum. 2/2 https://t.co/py5Z991Bme",delivery_and_orders,escalate,requires_pii_or_dm,Tesco Direct sofa collection delay,
45,1072611,3,55.5,Clean; Branching,"[Turn 0 | CUSTOMER | @373101 | 2017-10-13 12:41:01] (root):
Do you know what I really love? When @Tesco GF rolls are basically just air https://t.co/Hs4exp4reD

[Turn 1 | TESCO | @Tesco | 2017-10-13 13:36:10] (in reply to 1072611):
@373101 Always the best! Sorry, Daisy. DM your name, address, barcode, date code, SC code and the store you bought them in, when &amp; price. 1/2

[Turn 2 | TESCO | @Tesco | 2017-10-13 13:36:33] (in reply to 1072611):
@373101 I'll get this reported to our supplier. Is it OK if your details were forwarded with the report? Thanks - Leighton 2/2",product_quality_and_safety,escalate,requires_pii_or_dm,"Product: GF rolls, quantity/quality issue",
46,1389594,3,63.5,Clean; Branching,"[Turn 0 | CUSTOMER | @443254 | 2017-10-28 10:04:49] (root):
Yuck! I bought these yesterday..@Tesco already mouldy. https://t.co/87xXrRLV4w

[Turn 1 | TESCO | @Tesco | 2017-10-28 11:08:17] (in reply to 1389594):
@443254 Oh no, I'm sorry to see this, Charlotte! Please DM where they were purchased &amp; your name/address details 1/2

[Turn 2 | TESCO | @Tesco | 2017-10-28 11:08:19] (in reply to 1389594):
@443254 I'll pop a Tesco Moneycard in the post to reimburse you. Many thanks in advance - Laura :) 2/2 https://t.co/py5Z991Bme",product_quality_and_safety,escalate,refund_or_compensation,Mouldy food; Moneycard offered,
47,1477623,3,546.4,Clean; Outbound-Root,"[Turn 0 | TESCO | @Tesco | 2017-10-16 11:57:22] (root):
@394522 Please let me know if I can assist you with anything else. Many thanks, Sophie 3/3

[Turn 1 | CUSTOMER | @394522 | 2017-10-16 16:19:44] (in reply to 1477623):
@Tesco Horse and I are all good and thank you for looking into this and dealing with it.

[Turn 2 | TESCO | @Tesco | 2017-10-16 21:03:44] (in reply to 1477622):
@394522 I'm glad to hear it and no problem Catherine, I hope you enjoy your evening! - Craig",general_feedback_and_chitchat,do_not_escalate,none,,Follow-up thanks after a prior issue already resolved
48,1481086,3,200.4,Clean,"[Turn 0 | CUSTOMER | @463895 | 2017-10-16 18:14:59] (root):
@Tesco bought @125607 #S8 in July - dropped and #hairline #crack across screen now! So much for #gorillaglass 😭

[Turn 1 | TESCO | @Tesco | 2017-10-16 21:27:00] (in reply to 1481086):
@463895 Meemee, oh no!!  I just got an S8, fanciest phone I ever bought, constantly terrified! - Nick

[Turn 2 | CUSTOMER | @463895 | 2017-10-16 21:35:24] (in reply to 1481084):
@Tesco Better be #careful #gorillaglass is #weak",product_quality_and_safety,do_not_escalate,none,Product: mobile phone screen defect,
49,1497399,3,6.6,Clean,"[Turn 0 | CUSTOMER | @467670 | 2017-11-03 12:25:31] (root):
Day 3 on my vegan month! Just had a pot of vegetable cous cous &amp; a fruit salad, washed down with a bottle of coke. Wasn't bad. 🙂

[Turn 1 | CUSTOMER | @467670 | 2017-11-03 12:27:35] (in reply to 1497399):
""Picky Wops"" had a second attempt at making me a vegan pizza last night. Have to say, was definitely an improvement.

[Turn 2 | TESCO | @Tesco | 2017-11-03 12:32:09] (in reply to 1497398):
@467670 Sounds like you're doing well, but we have some extra help here...
#EveryLittleHelps 💚
https://t.co/EcV5KlcyD9",general_feedback_and_chitchat,do_not_escalate,none,,
50,1555650,3,149.3,Clean; Branching,"[Turn 0 | CUSTOMER | @481056 | 2017-11-04 09:45:11] (root):
@Tesco your Hemel store won't refund me for vitamins that were already open when I purchased them - can you please help?

[Turn 1 | TESCO | @Tesco | 2017-11-04 12:14:25] (in reply to 1555650):
@481056 Hi Alice, I'd like to resolve this for you. Can you DM me your name, address and email address . 1/2

[Turn 2 | TESCO | @Tesco | 2017-11-04 12:14:28] (in reply to 1555650):
@481056 If you could also tell me what store you visited and an account of what happened that would be very helpful. Thanks - Mark 2/2",store_experience_and_staff,escalate,refund_or_compensation,Store: Hemel; refund dispute for opened vitamins,
51,1718957,3,529026.2,Clean,"[Turn 0 | CUSTOMER | @520417 | 2016-10-24 08:57:49] (root):
Dear @Tesco, just a few hours have passed since I left London, but I already miss you + your £3 meal deal. Why aren't you coming to Berlin?

[Turn 1 | TESCO | @Tesco | 2016-10-24 09:05:06] (in reply to 1718957):
@520417 We miss you too Pat! Are you planning to come and visit again soon? - Lloyd

[Turn 2 | CUSTOMER | @520417 | 2017-10-26 18:04:01] (in reply to 1718955):
@Tesco Hi y'all, I'm back and so happy to spend all my money on your £3 meal deals &lt;3",general_feedback_and_chitchat,do_not_escalate,none,,
52,1864011,3,138.3,Clean,"[Turn 0 | CUSTOMER | @556926 | 2017-10-20 11:45:15] (root):
@Tesco Any reason I’m getting this screen when trying to use clubcard boost? Only when logged in and trying to get to Good Food show today! https://t.co/suYDML9xlY

[Turn 1 | CUSTOMER | @556926 | 2017-10-20 12:01:29] (in reply to 1864011):
@Tesco Tried multiple browsers and multiple devices, same error whenever I try to reach the voucher screen while logged in. Works fine when not.

[Turn 2 | TESCO | @Tesco | 2017-10-20 14:03:32] (in reply to 1864010):
@556926 Hi, not sure why, can you DM your full name, address, clubcard number and email address please and I'll have a look for you? TY- Donna",clubcard_and_loyalty,escalate,technical_support,Clubcard Boost voucher screen error,
53,1900329,3,2.9,Clean,"[Turn 0 | CUSTOMER | @566315 | 2017-10-18 12:58:07] (root):
Salmon is my new favourite food

[Turn 1 | TESCO | @Tesco | 2017-10-18 13:00:24] (in reply to 1900329):
@566315 Good choice! Here's a few easy recipes you might like, hope you enjoy! #EveryLittleHelps
https://t.co/YZ9ufcYKRN

[Turn 2 | CUSTOMER | @566315 | 2017-10-18 13:01:00] (in reply to 1900327):
@Tesco Fuck outta my replies bitch smh",general_feedback_and_chitchat,do_not_escalate,none,,Conversation ends with unrelated hostile remark
54,1950395,3,539.8,Clean; Branching,"[Turn 0 | CUSTOMER | @579306 | 2017-11-26 00:55:46] (root):
. @Tesco ? Can you confirm this is true? 

https://t.co/hk92pfHTm7

[Turn 1 | TESCO | @Tesco | 2017-11-26 09:55:08] (in reply to 1950395):
@579306 This is not true. Our policy is always to pay colleagues directly into their bank wherever possible. We only issue a Tuxedo card by exception and as a last resort in situations where colleagues are unable to share bank details with us. 1/2

[Turn 2 | TESCO | @Tesco | 2017-11-26 09:55:32] (in reply to 1950395):
@579306 Currently, of the 300,000 colleagues we employ in the UK, fewer than 200 are paid by Tuxedo Cards each month. Many thanks – Sarah 2/2",general_feedback_and_chitchat,do_not_escalate,none,,Rumor about temp staff pay method; answered publicly
